task_description,category
Schedule group meeting,"Assign, Setup and Schedule Task"
Assign roles and responsibilities,"Assign, Setup and Schedule Task"
Create project timeline,"Assign, Setup and Schedule Task"
"Set up shared folder (e.g., Google Drive)","Assign, Setup and Schedule Task"
Define project goals and scope,"Assign, Setup and Schedule Task"
Read and understand project requirements,Reviewing and Providing Feedback
Brainstorm initial ideas with group,"Assign, Setup and Schedule Task"
Identify project deliverables and deadlines,"Assign, Setup and Schedule Task"
Clarify marking criteria or rubric,Reviewing and Providing Feedback
List questions to ask the instructor,Reviewing and Providing Feedback
"Create group chat or communication channel (e.g., Line, WhatsApp, Discord)","Assign, Setup and Schedule Task"
"Set up a shared document (e.g., Google Doc, Notion)",Documentation
Decide on communication rules and update schedule,"Assign, Setup and Schedule Task"
Assign group leader/coordinator (if applicable),"Assign, Setup and Schedule Task"
Propose and confirm regular meeting times,"Assign, Setup and Schedule Task"
Create a shared calendar,"Assign, Setup and Schedule Task"
Break project into milestones,"Assign, Setup and Schedule Task"
Set internal deadlines,"Assign, Setup and Schedule Task"
Decide on a check-in schedule,"Assign, Setup and Schedule Task"
Assign research roles,"Assign, Setup and Schedule Task"
Assign writing/editing roles,"Assign, Setup and Schedule Task"
Assign design/presentation roles,"Assign, Setup and Schedule Task"
Assign submission responsibility,"Assign, Setup and Schedule Task"
Document who is doing what and when,"Assign, Setup and Schedule Task"
Collect and list useful resources,"Assign, Setup and Schedule Task"
Choose tools for collaboration,"Assign, Setup and Schedule Task"
Create a shared folder structure,"Assign, Setup and Schedule Task"
Set naming conventions for files and documents,"Assign, Setup and Schedule Task"
Conduct background research,Conducting Research
Collect data/information,Conducting Research
Summarize research findings,Conducting Research
Create project outline,Documentation
Draft written content,Creating Content and Visuals
Review teammates� drafts,Reviewing and Providing Feedback
Merge individual sections,Finalizing and Submitting Work
Give peer feedback,Reviewing and Providing Feedback
Edit and proofread final report,Documentation
Finalize citations/references,Conducting Research
Design slides,Creating Content and Visuals
Assign presentation parts,"Assign, Setup and Schedule Task"
Rehearse presentation,Creating Content and Visuals
"Prepare visuals (charts, diagrams)",Creating Content and Visuals
"Check tech setup (laptop, projector, etc.)",Testing
Submit final project/report,Finalizing and Submitting Work
Upload presentation recording (if required),Finalizing and Submitting Work
Reflect on group work (for peer eval),Reviewing and Providing Feedback
Complete self/peer evaluations,Reviewing and Providing Feedback
Define research questions or key topics,Conducting Research
"Identify reliable sources (e.g., academic journals, official websites)",Conducting Research
Decide who researches which subtopic,"Assign, Setup and Schedule Task"
Set deadline for individual research contributions,"Assign, Setup and Schedule Task"
Create a shared document for research notes,Documentation
Find at least 3�5 credible sources per subtopic,Conducting Research
Extract key points and summarize,Conducting Research
Note down publication details for citations,Conducting Research
Take screenshots or save PDFs of important resources,Conducting Research
Identify conflicting or unclear information for discussion,Conducting Research
Summarize findings into bullet points or mind maps,Creating Content and Visuals
Add notes to shared document/slides,Documentation
Group similar ideas or facts together,Conducting Research
Highlight quotes or stats to use in the project,Documentation
"Translate findings into simple, understandable language (if needed)",Translation
Review each other's findings,Reviewing and Providing Feedback
Merge overlapping content,Reviewing and Providing Feedback
Identify gaps in information or unanswered questions,Conducting Research
Check for bias or weaknesses in sources,Conducting Research
Create a short research summary for the group,Conducting Research
Turn research findings into section drafts,Conducting Research
"Provide references and citations in proper format (APA, MLA, etc.)",Conducting Research
Create a list of all sources used (bibliography),Conducting Research
Decide which findings go in the slides and which in the report,Creating Content and Visuals
Discuss how the research supports the project goals,Conducting Research
"Create separate docs for meeting notes, task tracking, and final report",Documentation
"Choose a consistent formatting style (fonts, headings, spacing)",Documentation
"Set up a naming convention for documents (e.g., Topic_Summary_v1.docx)",Documentation
"Record date, time, and attendees",Documentation
"Write down decisions made, task assignments, and deadlines",Documentation
Upload or share notes after each meeting,Documentation
Keep a running log of group discussions and feedback,Documentation
Outline the report structure,Documentation
Document key points and findings clearly,Documentation
"Add headings, subheadings, and bullet points for readability",Documentation
"Include charts, images, or tables where necessary",Documentation
"Review for grammar, clarity, and structure",Reviewing and Providing Feedback
Ensure consistency in writing style and tone,Reviewing and Providing Feedback
Cross-check facts and references,Reviewing and Providing Feedback
Combine all sections into one unified document,Documentation
Make revisions based on peer/instructor feedback,Documentation
Keep track of all sources used during research,Documentation
"Use a citation tool (e.g., Zotero, Mendeley, Google Docs� citation feature)",Conducting Research
