id,user_name,work_load_per_day,team_work,work_category,work_speed,overall_quality_score
1,Totwx73,"[6, 7, 7, 8, 8, 9, 7, 9, 7, 9, 6, 8, 10, 8, 8, 8, 8, 8, 10]",85.66,Testing,19.0,79.88
2,Irzkk47,"[8, 5, 8, 9]",77.51,Programming,23.08,66.41
3,Xvwic96,"[8, 5, 7, 7, 8, 8, 8, 7, 8, 6, 6, 8, 7, 5, 8, 7, 9, 7, 5]",66.45,Programming,31.57,61.19
4,Omucn96,"[3, 2, 4, 3, 1, 5, 4, 7, 6, 2, 5, 3, 5, 4, 4, 6, 3]",39.09,Documentation,45.0,19.37
5,Svkxa94,"[10, 8, 10, 10, 7, 10, 9, 8, 8, 8, 8, 10, 9]",91.71,Creating Content and Visuals,5.87,96.63
6,Ytccl39,"[8, 10, 9, 9, 9, 9, 8, 10, 10, 9, 6, 6, 9, 9, 10, 9, 6, 6, 9, 8]",87.24,Testing,12.75,89.99
7,Exffj27,"[4, 1, 4, 1, 2, 5, 6, 1, 5, 2]",37.27,Programming,61.47,1.02
8,Zsmwx55,"[2, 1, 6, 2, 4, 6, 5, 6, 5, 3, 4]",43.75,Working with Spreadsheets and Data,43.95,22.57
9,Biwsj67,"[10, 10, 9, 9, 6, 9]",75.87,Translation,26.48,72.53
10,Akbrx19,"[6, 3, 2, 4, 1, 5, 2, 3, 2, 4, 7, 5, 6, 4, 2]",34.7,Creating Content and Visuals,56.74,8.64
11,Ytdsx86,"[10, 7, 9, 10, 9, 10, 10, 9, 8, 9, 10, 9, 10]",95.79,Task Assignment and Scheduling,8.53,97.45
12,Yovpv63,"[4, 5, 4, 4, 2, 2, 2, 6]",59.71,Reviewing and Providing Feedback,41.69,44.43
13,Tdoln66,"[5, 7, 7, 6, 6, 6, 4, 9, 8, 8, 5, 5, 5, 5, 6]",67.02,Documentation,23.09,60.9
14,Dagvw61,"[4, 2, 3]",37.36,Testing,59.93,16.51
15,Jbqor48,"[10, 8, 5, 8, 5, 10, 8, 7, 7, 6]",76.88,Programming,24.67,67.15
16,Eamtn38,"[2, 6, 7, 5, 5, 4]",49.28,Finalizing and Submitting Work,37.62,27.72
17,Whzfo79,"[9, 9, 8, 7, 7, 7, 9, 6, 9, 7, 4, 7, 8, 8, 2, 8, 6, 7]",68.94,Reviewing and Providing Feedback,36.99,60.76
18,Omuzd84,"[7, 8, 10, 7, 10, 9, 10, 10, 7, 9, 7, 8, 7, 10, 9, 7, 6, 7, 10]",89.19,Creating Content and Visuals,9.87,88.35
19,Qkrbh89,"[7, 4, 6, 6, 6, 7, 5, 6]",47.11,Task Assignment and Scheduling,48.02,31.5
20,Kpmmh85,"[5, 5, 2, 6, 4, 5, 2, 4, 4, 6, 3, 3, 3]",45.49,Working with Spreadsheets and Data,46.06,22.14
21,Gxiqj11,"[3, 4, 1, 3, 6, 0]",42.37,Programming,36.66,15.12
22,Jfghr30,"[10, 8, 9, 8, 7, 10, 10, 10, 6, 10, 10, 9, 10, 8, 9, 8, 8, 10, 9]",91.64,Creating Content and Visuals,12.11,87.16
23,Tbtjn64,"[8, 6, 7, 5]",70.36,Sending Emails and Communication,19.43,68.05
24,Hzapo21,"[5, 5, 5, 7, 3, 4, 6]",42.2,Working with Spreadsheets and Data,47.34,22.74
25,Gesiq40,"[9, 7, 4, 8, 10, 8, 10, 8, 8, 9, 9]",85.23,Conducting Research,19.18,77.25
26,Ctsyt97,"[8, 10, 10, 10, 8, 7, 8, 9, 8, 10, 10, 8]",95.18,Working with Spreadsheets and Data,21.94,98.27
27,Ffuur64,"[6, 1, 8, 6, 5]",44.46,Reviewing and Providing Feedback,46.24,26.19
28,Gpstt10,"[0, 2, 4, 2, 3, 3, 2]",30.79,Working with Spreadsheets and Data,59.91,0.79
29,Aurxw19,"[9, 6, 8, 8, 7, 6, 10, 10, 8]",76.19,Working with Spreadsheets and Data,21.04,72.35
30,Mwsdu42,"[2, 3, 7, 3, 4, 4, 4, 3, 5, 3, 5, 5, 5, 5, 7, 4, 3]",43.26,Testing,50.67,20.12
31,Hoeod20,"[5, 5, 6, 7, 3, 0, 3, 3, 4, 4, 4, 6, 5]",45.05,Programming,49.82,20.98
32,Qxocr14,"[6, 7, 9, 6, 10, 8, 9, 8, 6, 8, 7, 4, 4, 5, 9]",68.0,Finalizing and Submitting Work,22.56,62.61
33,Kzycp85,"[2, 1, 4, 4, 4, 5, 2, 5, 4, 3, 3, 3, 1, 3, 3, 6, 4, 6, 4]",42.78,Programming,43.51,14.8
34,Rwoyf69,"[4, 4, 3, 3, 2, 3, 5, 4, 4, 6, 5, 2, 7, 8, 0, 2]",44.48,Reviewing and Providing Feedback,56.17,13.74
35,Ghgqj62,"[10, 6, 3, 5, 7, 3, 4, 7, 6, 6, 6, 3, 9, 7]",58.27,Translation,32.21,49.88
36,Ktnft42,"[8, 7, 10, 6, 8, 7, 8, 8, 5, 6, 9]",78.56,Task Assignment and Scheduling,28.08,74.44
37,Upikl37,"[7, 10, 8, 7, 8, 7, 8, 7, 6, 9, 9, 9, 8, 7, 6]",75.41,Working with Spreadsheets and Data,26.33,70.18
